,Country,Year,New Age-Standardized Death Rate
14701,North Macedonia,2019,984.54562877
14799,Montenegro,2017,881.14362288
14874,North Macedonia,2016,985.33647931
14980,Mongolia,2018,543.88301086
14998,Mongolia,2017,504.89343019
15051,Martinique,2016,871.83611074
15107,Montenegro,2019,814.91508421
15120,Martinique,2015,807.18033809
15205,Mauritius,2019,882.82396218
15297,Mauritius,2018,852.52307155
15346,Mauritius,2015,777.93789113
15540,Malaysia,2017,313.26509873
15609,Malaysia,2016,279.08739007
15657,Mauritius,2017,811.30956034
15679,Mayotte,2015,264.56128656
15792,Nicaragua,2019,371.5070288
15821,Malaysia,2018,372.32579654
15975,Malaysia,2015,266.56239072
16037,Mayotte,2016,290.93122337
16132,Netherlands,2019,869.84494385
16181,Nicaragua,2018,364.00891439
16195,Netherlands,2018,885.65139408
16284,Netherlands,2015,868.56351894
16329,Nicaragua,2016,376.55612158
16372,Norway,2016,775.5505905
16414,Colombia,2016,463.05710267
16541,New Zealand,2015,691.82951002
16667,Netherlands,2016,874.89285283
16792,Oman,2016,182.97832725
16819,Norway,2015,783.94664708
16858,Panama,2018,472.12397612
16888,Colombia,2015,461.8453693
16933,Oman,2019,167.47785823
16946,Panama,2017,474.38752947
17132,Peru,2018,392.60051655
17345,Philippines,2019,578.26889549
17378,Panama,2015,458.15949504
17410,Philippines,2018,558.56271059
17467,Philippines,2016,567.81613877
17593,Peru,2016,314.43089757
17631,Costa Rica,2017,463.82249209
17663,Peru,2015,315.84404892
17701,Poland,2017,1061.1891508
17718,Poland,2016,1022.2390051
17810,Philippines,2017,556.05383663
17838,Puerto Rico,2016,893.59984771
17878,Puerto Rico,2015,830.51457955
17908,Poland,2019,1079.6550239
18180,Puerto Rico,2017,972.82678613
18203,Portugal,2015,1051.5659472
18221,Paraguay,2019,459.38498455
18279,Paraguay,2018,449.36318891
18318,Portugal,2019,1098.493505
18351,Paraguay,2017,422.61165293
18398,Paraguay,2016,462.01816735
18422,Portugal,2017,1069.7843752
18470,Paraguay,2015,428.19685484
18658,Qatar,2016,83.14578127
18746,Qatar,2015,85.16161219
18765,R?union,2016,541.99918827
18809,Cuba,2017,943.17492138
18874,R?union,2015,524.80822088
